Timestamp,Book Photo Link,Book Name,Subtitle,Author's Name,Narrated By,Length,Release Date,Language,Star Rating,Number of Rating
5/26/2024 23:09:47,https://m.media-amazon.com/images/I/51Mdr83ofCL._SL500_.jpg,Burn Book,A Tech Love Story,Kara Swisher,Kara Swisher,7 hrs and 40 mins,02-27-24,English,4.5 out of 5,"1,112"
5/26/2024 23:09:53,https://m.media-amazon.com/images/I/51qki3l4c-L._SL500_.jpg,Laws of UX,Using Psychology to Design Better Products & Services,Jon Yablonski,Jason Leikam,3 hrs,07-27-21,English,4.5 out of 5,93
5/26/2024 23:10:00,https://m.media-amazon.com/images/I/41-Cmh8JOBL._SL500_.jpg,The Book,A Cover-To-Cover Exploration of the Most Powerful Object of Our Time,Keith Houston,Dennis Kleinman,9 hrs and 58 mins,04-30-19,English,4.5 out of 5,21
5/26/2024 23:10:06,https://m.media-amazon.com/images/I/512ESwpmobL._SL500_.jpg,Designing Data-Intensive Applications,"The Big Ideas Behind Reliable, Scalable, and Maintainable Systems",Martin Kleppmann,Benjamin Lange,20 hrs and 56 mins,02-05-21,English,5 out of 5,408
5/26/2024 23:10:12,https://m.media-amazon.com/images/I/51r3fURBurL._SL500_.jpg,Fundamentals of Software Architecture,An Engineering Approach,"Mark Richards, Neal Ford",Benjamin Lange,13 hrs and 10 mins,02-27-21,English,4.5 out of 5,238
5/26/2024 23:10:19,https://m.media-amazon.com/images/I/41EYLUDaF8L._SL500_.jpg,Clean Code,A Handbook of Agile Software Craftsmanship,Robert C. Martin,Theodore O'Brien,5 hrs and 49 mins,02-27-21,English,5 out of 5,289
5/26/2024 23:10:25,https://m.media-amazon.com/images/I/518qCPUCDGL._SL500_.jpg,Data Science for Business,What You Need to Know About Data Mining and Data-Analytic Thinking,"Foster Provost, Tom Fawcett",Benjamin Lange,12 hrs and 46 mins,02-05-21,English,4.5 out of 5,63
5/26/2024 23:10:32,https://m.media-amazon.com/images/I/51zsl1bCmnL._SL500_.jpg,Python Programming for Beginners,The Simplified Beginnerâ€™s Guide to Mastering Python Programming in One Week. Learn Python Quickly with No Prior Experience.,Mark Gowen,Virtual Voice,2 hrs and 42 mins,04-18-24,English,Not rated yet,Not rated yet
5/26/2024 23:10:38,https://m.media-amazon.com/images/I/61MSZsYP-NL._SL500_.jpg,Hackers & Painters,Big Ideas from the Computer Age,Paul Graham,Mark Sando,7 hrs and 44 mins,03-17-21,English,4.5 out of 5,72
5/26/2024 23:10:44,https://m.media-amazon.com/images/I/51VzkJGKrjL._SL500_.jpg,The Clean Coder,A Code of Conduct for Professional Programmers,Robert C. Martin,Theodore O'Brien,6 hrs and 12 mins,02-27-21,English,4.5 out of 5,190
5/26/2024 23:10:51,https://m.media-amazon.com/images/I/615OcHSWprL._SL500_.jpg,Printer's Error,Irreverent Stories from Book History,"Rebecca Romney, J. P. Romney",J.P. Romney,8 hrs and 43 mins,03-14-17,English,4.5 out of 5,83
5/26/2024 23:10:57,https://m.media-amazon.com/images/I/51p99PPnqPL._SL500_.jpg,User Story Mapping,"Discover the Whole Story, Build the Right Product","Jeff Patton, Peter Economy - foreword",Roy McCrerey,8 hrs and 19 mins,01-26-21,English,4.5 out of 5,120
5/26/2024 23:11:03,https://m.media-amazon.com/images/I/51qxBkkwLpL._SL500_.jpg,Software Engineering at Google,Lessons Learned from Programming Over Time,"Titus Winters, Tom Manshreck, Hyrum Wright",Mark Sando,23 hrs and 36 mins,02-05-21,English,4.5 out of 5,194
5/26/2024 23:11:10,https://m.media-amazon.com/images/I/41Tq-XYDlbL._SL500_.jpg,The Idea Factory,Bell Labs and the Great Age of American Innovation,Jon Gertner,Chris Sorensen,17 hrs and 28 mins,04-13-12,English,4.5 out of 5,994
5/26/2024 23:11:16,https://m.media-amazon.com/images/I/51GO4tM0M-L._SL500_.jpg,Monolith to Microservices,Evolutionary Patterns to Transform Your Monolith,Sam Newman,Mitchell Dorian,6 hrs and 45 mins,02-27-21,English,4.5 out of 5,107
5/26/2024 23:11:22,https://m.media-amazon.com/images/I/41Unwch-NoL._SL500_.jpg,Deep Medicine,How Artificial Intelligence Can Make Healthcare Human Again,Eric Topol,Graham Winton,11 hrs and 6 mins,03-12-19,English,4.5 out of 5,747
5/26/2024 23:11:29,https://m.media-amazon.com/images/I/51GhX8ZoVoL._SL500_.jpg,Building Microservices,Designing Fine-Grained Systems,Sam Newman,Theodore O'Brien,21 hrs and 12 mins,02-09-22,English,5 out of 5,92
5/26/2024 23:11:35,https://m.media-amazon.com/images/I/51xxt2y1C6L._SL500_.jpg,The Metaverse,And How It Will Revolutionize Everything,Matthew Ball,Luis Moreno,13 hrs and 38 mins,07-19-22,English,4.5 out of 5,488
5/26/2024 23:11:42,https://m.media-amazon.com/images/I/51SPjMOkP1L._SL500_.jpg,Managing Humans,Biting and Humorous Tales of a Software Engineering Manager,Michael Lopp,TJ Johnson,5 hrs and 39 mins,05-27-20,English,4.5 out of 5,221
5/26/2024 23:11:48,https://m.media-amazon.com/images/I/51C3EoGw9WL._SL500_.jpg,The Distracted Mind,Ancient Brains in a High-Tech World,"Larry D. Rosen, Adam Gazzaley",Chris Sorensen,10 hrs and 56 mins,10-14-16,English,4 out of 5,108
5/26/2024 23:11:54,https://m.media-amazon.com/images/I/51kgjvJtjDL._SL500_.jpg,LikeWar,The Weaponization of Social Media,"P. W. Singer, Emerson T. Brooking",George Guidall,11 hrs and 21 mins,10-02-18,English,4.5 out of 5,938
5/26/2024 23:12:01,https://m.media-amazon.com/images/I/51PfmlF7O7L._SL500_.jpg,Faster,"How a Jewish Driver, an American Heiress, and a Legendary Car Beat Hitler's Best",Neal Bascomb,Edoardo Ballerini,9 hrs and 52 mins,03-17-20,English,4.5 out of 5,202
5/26/2024 23:12:07,https://m.media-amazon.com/images/I/51Nt4VAv39L._SL500_.jpg,Information Architecture,For the Web and Beyond,"Louis Rosenfeld, Peter Morville, Jorge Arango",Theodore O'Brien,11 hrs,03-26-21,English,4.5 out of 5,26
5/26/2024 23:12:14,https://m.media-amazon.com/images/I/51Y7qsBCEqS._SL500_.jpg,Coders at Work,Reflections on the Craft of Programming,Peter Seibel,"Mitchell Dorian, full cast",20 hrs and 52 mins,04-21-21,English,5 out of 5,73
5/26/2024 23:12:20,https://m.media-amazon.com/images/I/61DV5ARPuxL._SL500_.jpg,How to Do Nothing,Resisting the Attention Economy,Jenny Odell,Rebecca Gibel,8 hrs and 10 mins,05-07-19,English,3.5 out of 5,695
5/26/2024 23:12:26,https://m.media-amazon.com/images/I/51cw0TB3iwS._SL500_.jpg,Learning Agile,"Understanding Scrum, XP, Lean, and Kanban","Andrew Stellman, Jennifer Greene",TJ Johnson,15 hrs and 4 mins,05-18-21,English,4.5 out of 5,27
5/26/2024 23:12:32,https://m.media-amazon.com/images/I/51iKpXBkjxL._SL500_.jpg,40-Day Social Media Fast,Exchange Your Online Distractions for Real-Life Devotion,Wendy Speake,Wendy Speake,6 hrs,11-17-20,English,5 out of 5,55
5/26/2024 23:12:39,https://m.media-amazon.com/images/I/41vfrS33TiL._SL500_.jpg,The book on ChatGPT 4,"A Comprehensive Guide to ChatGPT-4 and the Key Differences from its Predecessor, ChatGPT-3","Daniel Steele, Chat GPT",Virtual Voice,4 hrs and 22 mins,02-15-24,English,2 out of 5,3
5/26/2024 23:12:46,https://m.media-amazon.com/images/I/51vJ0UsfpWL._SL500_.jpg,"The Adventures of an IT Leader, Updated Edition",The Race to the Ends of the Earth,"Robert D. Austin, Richard L. Nolan, Shannon O'Donnell",Teri Schnaubelt,10 hrs and 28 mins,05-05-17,English,4.5 out of 5,233
5/26/2024 23:12:52,https://m.media-amazon.com/images/I/61XYYjE8hXL._SL500_.jpg,The Fourth Part of the World,Escape Fantasies of the Tech Billionaires,Toby Lester,Peter Jay Fernandez,15 hrs and 36 mins,11-03-09,English,4 out of 5,72
5/26/2024 23:13:00,https://m.media-amazon.com/images/I/41x6Yx9X7HL._SL500_.jpg,Survival of the Richest,"The Key to Digital Security, How It Works, and Why It Matters",Douglas Rushkoff,Douglas Rushkoff,6 hrs and 18 mins,09-06-22,English,4.5 out of 5,353
5/26/2024 23:13:06,https://m.media-amazon.com/images/I/51bcKbyzZkL._SL500_.jpg,Cryptography,Designing Great Products with Agile Teams,Keith Martin,Matthew Waterson,7 hrs and 45 mins,05-19-20,English,4.5 out of 5,37
5/26/2024 23:13:12,https://m.media-amazon.com/images/I/414-j-WyjcL._SL500_.jpg,Lean UX,50 Creative Ways to Boost Your Income in 50 Minutes,"Jeff Gothelf, Josh Seiden",Douglas Martin,6 hrs and 11 mins,02-25-22,English,5 out of 5,16
5/26/2024 23:13:19,https://m.media-amazon.com/images/I/51r3Vs6o9OL._SL500_.jpg,The Big Book of Side Hustles,Back to Basics,Rick Riley,Virtual Voice,1 hr and 47 mins,03-19-24,English,Not rated yet,Not rated yet
5/26/2024 23:13:26,https://m.media-amazon.com/images/I/416ishNzDYL._SL500_.jpg,Clean Agile,How to Use AI With Your Team (A short book that covers simple frameworks and strategies for using gen AI at work),Robert C. Martin,Theodore O'Brien,5 hrs and 53 mins,02-27-21,English,4.5 out of 5,180
5/26/2024 23:13:33,https://m.media-amazon.com/images/I/31dPO8gfm7L._SL500_.jpg,Hacker's Cookbook,Murder and the Birth of Forensic Medicine in Jazz Age New York,Jean-Jacques Reibel,Virtual Voice,2 hrs and 19 mins,03-29-24,English,Not rated yet,Not rated yet
5/26/2024 23:13:39,https://m.media-amazon.com/images/I/41MLTYi30vL._SL500_.jpg,Generative AI for Busy Business Leaders,Paging Through History,Hassan Osman,Virtual Voice,52 mins,01-27-24,English,3 out of 5,10
5/26/2024 23:13:46,https://m.media-amazon.com/images/I/51SFgwk3pGL._SL500_.jpg,The Poisoner's Handbook,How to Stop Silicon Valley from Building a New Global Underclass,Deborah Blum,Coleen Marlo,9 hrs and 14 mins,02-18-10,English,4 out of 5,"2,530"
5/26/2024 23:13:52,https://m.media-amazon.com/images/I/61rlAWqF-lL._SL500_.jpg,Paper,The Hidden Battles to Capture Your Data and Control Your World,Mark Kurlansky,Andrew Garman,13 hrs and 42 mins,05-10-16,English,4.5 out of 5,379
5/26/2024 23:13:59,https://m.media-amazon.com/images/I/61bdVbx8gbL._SL500_.jpg,Ghost Work,"Pioneers, Killing Machines, Artificial Intelligence, and the Battle for the Future","Mary L. Gray, Siddharth Suri",Will Damron,8 hrs and 7 mins,05-07-19,English,4.5 out of 5,45
5/26/2024 23:14:08,https://m.media-amazon.com/images/I/41LwJXw6c0L._SL500_.jpg,Lean UX: Designing Great Products with Agile Teams (Second Edition),Practical Techniques for Designing Better Products,"Jeff Gothelf, Josh Seiden",Douglas Martin,4 hrs and 56 mins,02-16-21,English,4.5 out of 5,64
5/26/2024 23:14:14,https://m.media-amazon.com/images/I/41WrJEnaq0L._SL500_.jpg,The OnlyFans Cheat Code Book for Guys,Building and Managing In-House Design Teams,Baz Tenny,Virtual Voice,1 hr,02-16-24,English,Not rated yet,Not rated yet
5/26/2024 23:14:20,https://m.media-amazon.com/images/I/61PhiuQpSJL._SL500_.jpg,Data and Goliath,How Science and Math Are Taking the Luck out of Gambling,Bruce Schneier,Dan John Miller,9 hrs and 27 mins,03-17-15,English,4.5 out of 5,991
5/26/2024 23:14:29,https://m.media-amazon.com/images/I/51qYEC6TxdS._SL500_.jpg,Drone Wars,"How 50,000 Years of Human Innovation Refined - and Redefined - Nature",Seth J. Frantzman,Jonathan Todd Ross,7 hrs and 51 mins,06-22-21,English,4.5 out of 5,41
5/26/2024 23:14:40,https://m.media-amazon.com/images/I/41si4ddylML._SL500_.jpg,UX Research,How to Become a Great Product Manager,"Brad Nunnally, David Farkas",Charlie Krone,5 hrs and 14 mins,02-13-21,English,4 out of 5,24
5/26/2024 23:14:47,https://m.media-amazon.com/images/I/51odpc7OOvL._SL500_.jpg,Org Design for Design Orgs,Powering America Beyond the Age of the Great Stagnation,"Peter Merholz, Kristin Skinner",TJ Johnson,5 hrs and 57 mins,03-26-21,English,4.5 out of 5,28